id,name,botanicalName,status,location,locationSec,waterPref,lastWatered,sunlight,plantType,humidity,heightLow,heightHigh,tempLow,tempHigh,hardiness,tolerance,pH,soilContent,cycle,hardinessZone,lastPotted,links,propogating,watching,notes,createdAt,updatedAt
101,"Dumb Cane",Dieffenbachia,,indoor,,moderate,2020-10-25,"medium to bright light",,,NULL,NULL,65,70,60,NULL,n/a,"peat, perlite, potting mix",n/a,"10 - 12",2020-05-30,https://plantcaretoday.com/dieffenbachia-plant-care.html,NULL,NULL,n/a,2020-10-11,2020-10-25
102,"Rubber Plant","Ficus elastica",,indoor,,moderate,2020-10-14,"bright light",,,NULL,NULL,60,80,50,NULL,n/a,,n/a,10-11,NULL,"https://www.proflowers.com/blog/rubber-plant-care, https://www.today.com/home/easiest-indoor-house-plants-won-t-die-you-t73006",NULL,NULL,"let it dry out",2020-10-11,2020-10-25
103,Coleus,"Plectranthus scuttellariodes",,indoor,,moist,2020-10-24,"part sun, full sun",,none,NULL,NULL,60,100,50,NULL,7,,annual,10-11,NULL,https://www.doityourself.com/stry/mistakes-to-avoid-when-growing-a-coleus,N,NULL,"below 40 and the plant will be damaged. propogating, needs to be topped off",2020-10-11,2020-12-24
104,Citronella,,,indoor,,"moderate to dry",2020-10-18,,,,NULL,NULL,60,70,50,NULL,n/a,,perennial,9-11,NULL,"https://www.gardenguides.com/90515-care-citronella-plants-fall.html, https://bonnieplants.com/how-to-grow/growing-mosquito-plants/",NULL,NULL,"drought tolerant",2020-10-11,2020-10-25
105,Rosemary,,,indoor,,dry,2020-11-08,"full sun",herb,,NULL,NULL,30,90,20,NULL,n/a,"sandy, loamy",,7-10,NULL,"https://bonnieplants.com/how-to-grow/growing-rosemary/, https://www.almanac.com/plant/rosemary",NULL,NULL,"can handle temp being 0, but not sustained",2020-10-11,2020-12-24
106,Lavender,,,outdoor,,dry,NULL,"full sun",,,NULL,NULL,10,90,20,NULL,,,,5-8,NULL,https://homeguides.sfgate.com/climate-grow-english-lavender-71815.html,NULL,NULL,"check the variety of lavender, as some can't tolerate temps below 40, while others can handle 10 to -20",2020-10-11,2020-10-11
107,"Italian Oregano",,,indoor,,moist,2020-11-08,"full sun, part shade",herb,,NULL,NULL,30,,20,NULL,,,perennial,5-10,2020-10-24,"https://bonnieplants.com/product/italian-oregano/, https://www.thespruce.com/growing-oregano-plants-1402818",NULL,NULL,"allow soil to dry out between waterings",2020-10-11,2020-11-08
108,"Greek Oregano",,,indoor,,moist,2020-11-08,"full sun, part shade",herb,,NULL,NULL,20,,-30,NULL,,,perennial,4-8,NULL,"https://bonnieplants.com/product/greek-oregano/, https://www.thespruce.com/growing-oregano-plants-1402818",NULL,NULL,"allow soil to dry out between waterings",2020-10-11,2020-11-08
109,"Lemon Thyme",,,outdoor,,,NULL,"full sun to part shade",,,NULL,NULL,20,,10,NULL,,,,"7 - 9",NULL,https://bonnieplants.com/product/lemon-thyme/,NULL,NULL,"Perennial in zones 7 to 9, plant spacing 18 to 24 inches apart",2020-10-11,2020-10-11
110,"Romaine Lettuce",,,outdoor,,moist,NULL,"full sun to part shade",,,NULL,NULL,25,90,,NULL,,,,,NULL,,NULL,NULL,"cold weather plant",2020-10-11,2020-10-11
111,Boxwood,,,outdoor,,"when dry",NULL,"full sun",,,NULL,NULL,,,-30,NULL,,,,,NULL,,NULL,NULL,"Also named Buxus, Green Velvet, height 24-36', space 36'",2020-10-11,2020-10-11
112,Lilac,,,outdoor,,"when dry",NULL,"full sun",,,NULL,NULL,,,-40,NULL,,,,,NULL,,NULL,NULL,"Also named 'syringa patula', 'Miss Kim', height 3-5', space 5', blooms early spring to summer",2020-10-11,2020-10-11
113,Spinach,,inactive,none,,moist,NULL,"full sun, part shade",herb,,NULL,NULL,20,,20,NULL,,,,,NULL,https://bonnieplants.com/product/bonnie-spinach/?gclid=EAIaIQobChMIzYXQsZ_L6QIVkIbACh06_AC5EAAYASAAEgLtOPD_BwE&cmp=kid/BonniePlants/Google_SEM/Brand/G|BonniePlants|Search|Generic|Vegetables/G|BonniePlants|Search|Generic|Vegetables|Spinach&s_kwcid=AL!4676!3!426170300098!p!!g!!grow%20spinach&ef_id=EAIaIQobChMIzYXQsZ_L6QIVkIbACh06_AC5EAAYASAAEgLtOPD_BwE:G:s&s_kwcid=AL!4676!3!426170300098!p!!g!!grow%20spinach,NULL,NULL,,2020-10-11,2020-12-24
114,"Flat Leaf Parsley",,,indoor,,moist,NULL,"sun to part shade",,,NULL,NULL,,,25,NULL,,,biennial,,NULL,https://bonnieplants.com/product/flat-italian-parsley/,NULL,NULL,"Space 12 to 20 inches apart, depending on type, plant size 1 foot tall",2020-10-11,2020-12-24
115,Arugula,,inactive,,,moist,NULL,,vegetable,,NULL,NULL,,,30,NULL,,,annual,,NULL,,NULL,NULL,"Cool season plant. Leafy plants grow 6 to 12 inches tall while in the harvest stage. Once they bolt in late spring or early summer, the bloom stalks may grow 24 to 36 inches with (edible!) tan-white flowers on top, which signals that it is time to make room for warm-weather crops. However, some gardeners continue to harvest the leaves even from the tall plants, liking the stronger taste. You can even cut them back and pick some more until you finally tire of that and then pull them up and wait until fall to plant again.",2020-10-11,2020-10-11
116,Basil,,inactive,indoor,,moist,2020-10-24,"full sun to part sun",herb,,NULL,NULL,50,,40,NULL,,,annual,"10 - 11",NULL,,N,NULL,"have seedlings, but the big plants died.",2020-10-11,2020-12-24
117,"Sweet Potato Vine",,inactive,indoor,,moist,2020-10-24,"sun, part sun, shade",,,NULL,NULL,50,50,40,NULL,,,,,NULL,"http://www.costafarms.com/plants/sweet-potato-vine, https://www.gardendesign.com/vines/sweet-potato-vine.html",NULL,NULL,"For containers, plant in a high quality all-purpose potting soil.",2020-10-11,2020-12-24
118,"Artillery plant","Pilea microphylla",inactive,none,,moderate,2020-11-08,"part shade",houseplant,moderate,NULL,NULL,60,95,45,NULL,7,,,"11 - 12",NULL,https://www.gardeningknowhow.com/houseplants/pilea-plants/growing-artillery-plants.htm,NULL,NULL,"Propagation Methods: By dividing the rootball, From herbaceous stem cuttings",2020-10-11,2020-12-24
119,"Chinese Money plant","Pilea peperomioides",,indoor,,"moderate to dry",2020-10-18,"bright light, indirect light",,,NULL,NULL,65,,none,NULL,,,,,2000-01-01,"https://greeneryunlimited.co/blogs/plant-care/pilea-peperomioides-care, https://bloomscape.com/plant-care-guide/pilea/#g1, https://savvygardening.com/pilea-peperomioides-care/",NULL,NULL,"When overwatered, the Pilea's leaves will develop brown spotting and edging, and the leaves will begin to fall off the plant. If your plant is showing these symptoms, feel the soil. If it’s moist then hold off on watering until the soil dries all the way through the pot. Reference the care instructions for re-establishing a watering routine with your plant. Other causes for brown spotting are too much fertilizer, too much sun, or pests.",2020-10-11,2020-10-25
120,"Spider plant",,,indoor,,moderate,2020-11-08,"bright light, medium light",,,NULL,NULL,60,75,,NULL,,,,,2020-10-01,,NULL,NULL,,2020-10-11,2020-11-08
121,Haworthia,,,indoor,,,2020-10-18,,succulent,,NULL,NULL,,,,NULL,,,,,NULL,,NULL,NULL,,2020-10-11,2020-10-25
122,"Haworthia (Zebra Wart)","Haworthia reinwardtii",,indoor,,,2020-10-18,indirect,succulent,,NULL,NULL,,,,NULL,,,,,NULL,https://worldofsucculents.com/haworthia-reinwardtii-zebra-wart/,NULL,NULL,,2020-10-11,2020-10-25
123,Pothos,"Epipremnum aureum","in progress",indoor,"front window",moderate,2020-11-08,"bright indirect",,,NULL,NULL,60,80,50,NULL,,"any well draining potting soil",,"10 - 11",2020-10-03,,NULL,NULL,"Bright indirect light is ideal, but plants are tolerant of low light and fluorescent lighting. Avoid direct sunlight, which can burn or discolor foliage.",2020-10-11,2020-12-24
124,"Fiddleleaf fig plant","ficus lyrata",,indoor,,"moderate to moist",2020-11-01,"bright, filtered light",,,NULL,NULL,60,80,,NULL,,"Any good, fast-draining potting soil will likely do",,,NULL,"https://www.thespruce.com/grow-fiddle-leaf-fig-indoors-1902756, https://www.gardenista.com/posts/10-things-nobody-tells-fiddle-leaf-fig-trees-houseplant-growing-care-guide/",NULL,NULL,"in the wild thrive in warm and wet conditions",2020-10-11,2020-11-08
125,"Bird of paradise","Strelitzia reginae",,indoor,,moderate,2020-11-01,"very bright light, part sun",,,NULL,NULL,50,80,30,NULL,,"All-purpose potting mix",,,2020-10-18,,NULL,NULL,https://www.fieldnotesbystudioplants.com/houseplants/bird-of-paradise-plant-care-strelitzia,2020-10-11,2020-11-08
126,"Red Aglaonema",Aglaonema,,indoor,,"moderate to dry",2020-11-08,"low to bright light",houseplant,high,NULL,NULL,65,,65,NULL,,"A well-drained, lightly acidic potting soil",,"10 - 11",2020-10-01,https://www.thespruce.com/grow-aglaonema-houseplants-1902734,NULL,NULL,mist,2020-10-11,2020-11-08
127,"Pincushion peperomia","Peperomia ferreyrae",,indoor,,,2020-10-18,"bright light",,moderate,NULL,NULL,65,75,50,NULL,,,perennial,"9 - 11",2020-10-01,"https://plantcaretoday.com/peperomia-ferreyrae.html, https://www.houseplantsexpert.com/peperomia-ferreyrae.html",NULL,NULL,"Use a potting mix prepared with two parts peat and one part perlite or sand for best results.",2020-10-11,2020-10-25
