"id";"name";"botanicalName";"status";"location";"locationSec";"locationPreferred";"waterPref";"lastWatered";"sunlight";"plantType";"trouble";"needsCare";"humidity";"heightLow";"heightHigh";"tempLow";"tempHigh";"hardiness";"tolerance";"pH";"soilContent";"cycle";"hardinessZone";"lastPotted";"links";"propogating";"watching";"notes";"createdAt";"updatedAt"
101;"Dumb Cane";"Dieffenbachia";"";"indoor";"";"";"moderate";"2020-10-25";"medium to bright light";"";"";"";"";"";"";"65";"70";"60";"";"n/a";"peat, perlite, potting mix";"n/a";"10 - 12";"2020-05-30";"https://plantcaretoday.com/dieffenbachia-plant-care.html";"";"";"n/a";"2020-10-11";"2020-10-25"
102;"Rubber Plant";"Ficus elastica";"";"indoor";"";"";"moderate";"2020-10-14";"bright light";"";"";"";"";"";"";"60";"80";"50";"";"n/a";"";"n/a";"10-11";"";"https://www.proflowers.com/blog/rubber-plant-care, https://www.today.com/home/easiest-indoor-house-plants-won-t-die-you-t73006";"";"";"let it dry out";"2020-10-11";"2020-10-25"
103;"Coleus";"Plectranthus scuttellariodes";"";"indoor";"";"outdoor";"moist";"2020-10-24";"part sun, full sun";"";"";"";"none";"";"";"60";"100";"50";"";"7";"";"annual";"10-11";"";"https://www.doityourself.com/stry/mistakes-to-avoid-when-growing-a-coleus";"N";"";"below 40 and the plant will be damaged. propogating, needs to be topped off";"2020-10-11";"2021-03-13"
104;"Citronella plant";"Pelargonium citrosum";"";"indoor";"";"outdoor";"moderate to dry";"2020-10-18";"";"";"";"";"";"";"";"60";"70";"50";"";"n/a";"";"perennial";"9-11";"2021-04-03";"https://www.gardenguides.com/90515-care-citronella-plants-fall.html, https://bonnieplants.com/how-to-grow/growing-mosquito-plants/";"";"";"drought tolerant. also known as mosquito plant. it is a geranium with a lemon scent, but does not actually repel mosquitoes.";"2020-10-11";"2021-04-04"
105;"Rosemary";"";"";"outdoor";"balcony railing";"outdoor";"dry";"2020-11-08";"full sun";"herb";"";"";"";"";"";"30";"90";"20";"";"n/a";"sandy, loamy";"";"7-10";"2021-04-03";"https://bonnieplants.com/how-to-grow/growing-rosemary/, https://www.almanac.com/plant/rosemary";"";"";"can handle temp being 0, but not sustained";"2020-10-11";"2021-04-04"
106;"Lavender";"";"";"outdoor";"";"outdoor";"dry";"";"full sun";"";"";"";"";"";"";"10";"90";"20";"";"";"";"";"5-8";"";"https://homeguides.sfgate.com/climate-grow-english-lavender-71815.html";"";"";"check the variety of lavender, as some can't tolerate temps below 40, while others can handle 10 to -20";"2020-10-11";"2021-03-13"
107;"Italian Oregano";"";"";"outdoor";"balcony railing";"outdoor";"moist";"2020-11-08";"full sun, part shade";"herb";"";"";"";"";"";"30";"";"20";"";"";"";"perennial";"5-10";"2020-10-24";"https://bonnieplants.com/product/italian-oregano/, https://www.thespruce.com/growing-oregano-plants-1402818";"";"";"allow soil to dry out between waterings";"2020-10-11";"2021-04-04"
108;"Greek Oregano";"";"";"outdoor";"balcony railing";"outdoor";"moist";"2020-11-08";"full sun, part shade";"herb";"";"";"";"";"";"20";"";"-30";"";"";"";"perennial";"4-8";"";"https://bonnieplants.com/product/greek-oregano/, https://www.thespruce.com/growing-oregano-plants-1402818";"";"";"allow soil to dry out between waterings";"2020-10-11";"2021-04-04"
109;"Lemon Thyme";"Thymus citriodorus";"";"outdoor";"balcony railing";"outdoor";"";"";"full sun to part shade";"herb";"";"";"";"";"";"100";"";"10";"";"";"potting mix";"";"7 - 9";"";"https://bonnieplants.com/product/lemon-thyme/";"";"";"Perennial in zones 7 to 9, plant spacing 18 to 24 inches apart. Extremely tolerant of poor soil and drought conditions.";"2020-10-11";"2021-04-04"
110;"Romaine Lettuce";"";"inactive";"outdoor";"";"outdoor";"moist";"";"full sun to part shade";"";"";"";"";"";"";"25";"90";"";"";"";"";"";"";"";"";"";"";"cold weather plant";"2020-10-11";"2021-04-11"
