name,botanicalName,status,location,locationSec,locationPreferred,waterPref,lastWatered,sunlight,plantType,trouble,needsCare,humidity,heightLow,heightHigh,tempLow,tempHigh,hardiness,tolerance,pH,soilContent,cycle,hardinessZone,lastPotted,links,propogating,watching,notes,createdAt,updatedAt
Dumb Cane,Dieffenbachia,,indoor,,,moderate,10/25/2020,medium to bright light,,,,,,,65,70,60,,,peat perlite potting mix,n/a,10 - 12,5/30/2020,https://plantcaretoday.com/dieffenbachia-plant-care.html,,,n/a,10/11/2020,10/25/2020
Rubber Plant,Ficus elastica,,indoor,,,moderate,10/14/2020,bright light,,,,,,,60,80,50,,,,n/a,10-11,,"https://www.proflowers.com/blog/rubber-plant-care, https://www.today.com/home/easiest-indoor-house-plants-won-t-die-you-t73006",,,let it dry out,10/11/2020,10/25/2020
Coleus,Plectranthus scuttellariodes,,indoor,,outdoor,moist,10/24/2020,"part sun, full sun",,,,none,,,60,100,50,,7,,annual,10-11,,https://www.doityourself.com/stry/mistakes-to-avoid-when-growing-a-coleus,N,,"below 40 and the plant will be damaged. propogating, needs to be topped off",10/11/2020,3/13/2021
Citronella plant,Pelargonium citrosum,,indoor,,outdoor,moderate to dry,10/18/2020,,,,,,,,60,70,50,,,,perennial,9-11,4/3/2021,"https://www.gardenguides.com/90515-care-citronella-plants-fall.html, https://bonnieplants.com/how-to-grow/growing-mosquito-plants/",,,"drought tolerant. also known as mosquito plant. it is a geranium with a lemon scent, but does not actually repel mosquitoes.",10/11/2020,4/4/2021
Rosemary,,,outdoor,balcony railing,outdoor,dry,11/8/2020,full sun,herb,,,,,,30,90,20,,,sandy loamy,,7-10,4/3/2021,"https://bonnieplants.com/how-to-grow/growing-rosemary/, https://www.almanac.com/plant/rosemary",,,"can handle temp being 0, but not sustained",10/11/2020,4/4/2021
Lavender,,,outdoor,,outdoor,dry,,full sun,,,,,,,10,90,20,,,,,5-8,,https://homeguides.sfgate.com/climate-grow-english-lavender-71815.html,,,"check the variety of lavender, as some can't tolerate temps below 40, while others can handle 10 to -20",10/11/2020,3/13/2021
Italian Oregano,,,outdoor,balcony railing,outdoor,moist,11/8/2020,"full sun, part shade",herb,,,,,,30,,20,,,,perennial,5-10,10/24/2020,"https://bonnieplants.com/product/italian-oregano/, https://www.thespruce.com/growing-oregano-plants-1402818",,,allow soil to dry out between waterings,10/11/2020,4/4/2021
Greek Oregano,,,outdoor,balcony railing,outdoor,moist,11/8/2020,"full sun, part shade",herb,,,,,,20,,-30,,,,perennial,4-8,,"https://bonnieplants.com/product/greek-oregano/, https://www.thespruce.com/growing-oregano-plants-1402818",,,allow soil to dry out between waterings,10/11/2020,4/4/2021
Lemon Thyme,Thymus citriodorus,,outdoor,balcony railing,outdoor,,,full sun to part shade,herb,,,,,,100,,10,,,potting mix,,7 - 9,,https://bonnieplants.com/product/lemon-thyme/,,,"Perennial in zones 7 to 9, plant spacing 18 to 24 inches apart. Extremely tolerant of poor soil and drought conditions.",10/11/2020,4/4/2021
Romaine Lettuce,,inactive,outdoor,,outdoor,moist,,full sun to part shade,,,,,,,25,90,,,,,,,,,,,cold weather plant,10/11/2020,4/11/2021
