"id";"zone";"rangeLow";"rangeHigh";"createdAt";"updatedAt"
1;"1a";-60.0;-55.0;"2021-04-04";"2021-04-04"
2;"1b";-55.0;-50.0;"2021-04-04";"2021-04-04"
3;"2a";-50.0;-45.0;"2021-04-04";"2021-04-04"
4;"2b";-45.0;-40.0;"2021-04-04";"2021-04-04"
5;"3a";-40.0;-35.0;"2021-04-04";"2021-04-04"
6;"3b";-35.0;-30.0;"2021-04-04";"2021-04-04"
7;"4a";-30.0;-25.0;"2021-04-04";"2021-04-04"
8;"4b";-25.0;-20.0;"2021-04-04";"2021-04-04"
9;"5a";-20.0;-15.0;"2021-04-04";"2021-04-04"
10;"5b";-15.0;-10.0;"2021-04-04";"2021-04-04"
11;"6a";-10.0;-5.0;"2021-04-04";"2021-04-04"
12;"6b";-5.0;0.0;"2021-04-04";"2021-04-04"
13;"7a";0.0;5.0;"2021-04-04";"2021-04-04"
14;"7b";5.0;10.0;"2021-04-04";"2021-04-04"
15;"8a";10.0;15.0;"2021-04-04";"2021-04-04"
16;"8b";15.0;20.0;"2021-04-04";"2021-04-04"
17;"9a";20.0;25.0;"2021-04-04";"2021-04-04"
18;"9b";25.0;30.0;"2021-04-04";"2021-04-04"
19;"10a";30.0;35.0;"2021-04-04";"2021-04-04"
20;"10b";35.0;40.0;"2021-04-04";"2021-04-04"
21;"11a";40.0;45.0;"2021-04-04";"2021-04-04"
22;"11b";45.0;50.0;"2021-04-04";"2021-04-04"
23;"12a";50.0;55.0;"2021-04-04";"2021-04-04"
24;"12b";55.0;60.0;"2021-04-04";"2021-04-04"
25;"13a";60.0;65.0;"2021-04-04";"2021-04-04"
26;"13b";65.0;70.0;"2021-04-04";"2021-04-04"
